vehicle_id,customer_id,make,model,year,rego,odometer,color
V001,C001,Toyota,Corolla,2018,ABC123,45000,Silver
V002,C002,Mazda,CX-5,2020,DEF456,32000,Blue
V003,C003,Honda,Civic,2019,GHI789,38000,White
V004,C004,Ford,Ranger,2021,JKL012,28000,Black
V005,C005,Toyota,RAV4,2017,MNO345,58000,Grey
V006,C006,Nissan,Qashqai,2020,PQR678,35000,Red
V007,C007,Mazda,3,2019,STU901,42000,Silver
V008,C008,Hyundai,Tucson,2021,VWX234,25000,White
V009,C009,Toyota,Camry,2018,YZA567,48000,Black
V010,C010,Honda,CR-V,2020,BCD890,30000,Blue
V011,C011,Ford,Focus,2017,EFG123,62000,Silver
V012,C012,Mazda,CX-3,2019,HIJ456,40000,Red
V013,C013,Toyota,Hilux,2020,KLM789,35000,White
V014,C014,Nissan,Navara,2019,NOP012,45000,Black
V015,C015,Honda,Accord,2018,QRS345,50000,Grey
V016,C016,Toyota,Yaris,2022,TUV678,15000,White
V017,C017,Mazda,2,2019,WXY901,41000,Red
V018,C018,Honda,Jazz,2020,ZAB234,33000,Blue
V019,C019,Ford,Escape,2021,CDE567,27000,Silver
V020,C020,Nissan,X-Trail,2019,FGH890,44000,Black